"Rank","Player","Team","Position","Points","Games","Avg"
"106","Jimmy Graham","GB","TE","54.4","6","9.1"
"107","Ryan Succop","TEN","K","54.0","6","9.0"
"107","Adam Vinatieri","IND","K","54.0","6","9.0"
"107","Arizona Cardinals","ARI","DST","54.0","6","9.0"
"107","Seattle Seahawks","SEA","DST","54.0","6","9.0"
"108","Wil Lutz","NO","K","53.0","5","10.6"
"108","Los Angeles Rams","LAR","DST","53.0","6","8.8"
"109","Baker Mayfield","CLE","QB","52.9","4","13.2"
"110","Mike Williams","LAC","WR","52.6","6","8.8"
"111","Marcus Mariota","TEN","QB","52.5","5","10.5"
"112","Willie Snead","BAL","WR","52.3","6","8.7"
"113","Kyle Rudolph","MIN","TE","52.1","6","8.7"
"113","Allen Robinson","CHI","WR","52.1","5","10.4"
"114","Aldrick Rosas","NYG","K","52.0","6","8.7"
"114","Matt Bryant","ATL","K","52.0","6","8.7"
"115","T.Y. Hilton","IND","WR","51.9","4","13.0"
"116","Bilal Powell","NYJ","RB","51.8","6","8.6"
"117","Christian Kirk","ARI","WR","50.8","6","8.5"
"118","Geronimo Allison","GB","WR","50.4","4","12.6"
"119","Marvin Jones","DET","WR","50.1","5","10.0"
"119","Keelan Cole","JAC","WR","50.1","6","8.4"
"120","Sebastian Janikowski","SEA","K","50.0","6","8.3"
"120","Houston Texans","HOU","DST","50.0","6","8.3"
"120","Buffalo Bills","BUF","DST","50.0","6","8.3"
"121","Royce Freeman","DEN","RB","49.3","6","8.2"
"122","Sammy Watkins","KC","WR","49.2","6","8.2"
"123","Chris Thompson","WAS","RB","49.0","4","12.3"
"123","Pittsburgh Steelers","PIT","DST","49.0","6","8.2"
"123","Green Bay Packers","GB","DST","49.0","6","8.2"
"124","Alshon Jeffery","PHI","WR","48.8","3","16.3"
"125","Giovani Bernard","CIN","RB","48.3","4","12.1"
"126","Chris Carson","SEA","RB","48.3","5","9.7"
"127","Brandon McManus","DEN","K","48.0","6","8.0"
"127","Cody Parkey","CHI","K","48.0","5","9.6"
"128","Jimmy Garoppolo","SF","QB","47.9","3","16.0"
"128","O.J. Howard","TB","TE","47.9","5","9.6"
"129","Kerryon Johnson","DET","RB","47.9","5","9.6"
"130","Dion Lewis","TEN","RB","47.6","6","7.9"
"131","Chester Rogers","IND","WR","47.5","6","7.9"
"132","Wendell Smallwood","PHI","RB","47.2","6","7.9"
"133","Robby Anderson","NYJ","WR","47.1","6","7.9"
"134","Dustin Hopkins","WAS","K","47.0","5","9.4"
"135","Minnesota Vikings","MIN","DST","46.0","6","7.7"
"135","Randy Bullock","CIN","K","46.0","6","7.7"
"136","Ryan Grant","IND","WR","46.0","6","7.7"
"137","Amari Cooper","OAK","WR","45.9","6","7.7"
"138","Mike Davis","SEA","RB","45.9","5","9.2"
"139","Trey Burton","CHI","TE","45.6","5","9.1"
"140","Latavius Murray","MIN","RB","45.4","6","7.6"
"141","Jalen Richard","OAK","RB","44.0","6","7.3"
"142","Lamar Miller","HOU","RB","44.0","5","8.8"
"142","Cleveland Browns","CLE","DST","44.0","6","7.3"
"142","David Njoku","CLE","TE","44.0","6","7.3"
"142","Jordan Howard","CHI","RB","44.0","5","8.8"
"143","Donte Moncrief","JAC","WR","43.9","6","7.3"
"144","Quincy Enunwa","NYJ","WR","43.7","6","7.3"
"145","Frank Gore","MIA","RB","43.6","6","7.3"
"146","Jake Elliott","PHI","K","43.0","6","7.2"
"146","Corey Clement","PHI","RB","43.0","4","10.8"
"147","Terrelle Pryor","NYJ","WR","42.5","6","7.1"
"148","Matt Prater","DET","K","42.0","5","8.4"
"148","Graham Gano","CAR","K","42.0","5","8.4"
"148","Cincinnati Bengals","CIN","DST","42.0","6","7.0"
"148","Steven Hauschka","BUF","K","42.0","6","7.0"
"149","Jesse James","PIT","TE","41.9","6","7.0"
"150","Chris Hogan","NE","WR","41.6","6","6.9"
"151","Paul Richardson","WAS","WR","41.4","5","8.3"
"152","Vance McDonald","PIT","TE","41.4","5","8.3"
