"Rank","Player","Team","Position","Points","Games","Avg"
"319","DaeSean Hamilton","DEN","WR","5.9","4","1.5"
"319","Xavier Grimble","PIT","TE","5.9","3","2.0"
"320","Mark Walton","CIN","RB","5.8","3","1.9"
"321","Justin Hardy","ATL","WR","5.7","6","1.0"
"322","Rico Gathers","DAL","TE","5.6","5","1.1"
"322","Tyler Kroft","CIN","TE","5.6","5","1.1"
"323","Andy Janovich","DEN","RB","5.5","5","1.1"
"323","James Develin","NE","RB","5.5","6","0.9"
"324","Shelton Gibson","PHI","WR","5.3","3","1.8"
"325","Darren Sproles","PHI","RB","5.2","1","5.2"
"326","Jacob Hollister","NE","TE","5.0","1","5.0"
"326","Devante Parker","MIA","WR","5.0","2","2.5"
"327","Luke Willson","DET","TE","4.9","4","1.2"
"328","Jonnu Smith","TEN","TE","4.8","6","0.8"
"329","Rod Smith","DAL","RB","4.6","5","0.9"
"330","Logan Thomas","BUF","TE","4.6","3","1.5"
"331","Mike Boone","MIN","RB","4.3","4","1.1"
"332","Gus Edwards","BAL","RB","4.2","1","4.2"
"332","Tim Patrick","DEN","WR","4.2","4","1.1"
"333","Scott Simonson","NYG","TE","4.1","4","1.0"
"334","Stevan Ridley","PIT","RB","4.0","4","1.0"
"334","Derek Carrier","OAK","TE","4.0","5","0.8"
"334","Robert Foster","BUF","WR","4.0","4","1.0"
"335","Lee Smith","OAK","TE","3.8","3","1.3"
"336","C.J. Prosise","SEA","RB","3.7","1","3.7"
"336","Mike Gillislee","FA","RB","3.7","4","0.9"
"336","Jawill Davis","NYG","WR","3.7","3","1.2"
"337","Jeremy Hill","NE","RB","3.6","1","3.6"
"338","Anthony Firkser","TEN","RB","3.5","1","3.5"
"339","Levine Toilolo","DET","TE","3.4","3","1.1"
"340","Shaun Wilson","TB","RB","3.4","3","1.1"
"340","Darius Jennings","TEN","WR","3.4","5","0.7"
"340","Damien Williams","KC","RB","3.4","5","0.7"
"341","Brian Quick","WAS","WR","3.3","2","1.7"
"342","Vyncint Smith","HOU","WR","3.3","2","1.7"
"343","Travis Benjamin","LAC","WR","3.2","2","1.6"
"343","Dwayne Harris","OAK","WR","3.2","5","0.6"
"344","DeAndre Carter","PHI","WR","3.1","4","0.8"
"344","Seth DeValve","CLE","TE","3.1","2","1.6"
"345","De'Lance Turner","BAL","RB","3.1","2","1.6"
"346","Derrick Coleman","ARI","RB","3.0","5","0.6"
"347","Keith Smith","OAK","RB","2.9","4","0.7"
"348","Patrick DiMarco","BUF","RB","2.9","2","1.5"
"348","Josh Adams","PHI","RB","2.9","3","1.0"
"349","Terrance Williams","DAL","WR","2.8","2","1.4"
"349","Tyrone Swoopes","SEA","TE","2.8","1","2.8"
"350","Kenjon Barner","NE","RB","2.7","2","1.4"
"351","Trenton Cannon","NYJ","RB","2.6","2","1.3"
"351","Rishard Matthews","FA","WR","2.6","3","0.9"
"352","Roosevelt Nix","PIT","RB","2.4","5","0.5"
"353","J.J. Nelson","ARI","WR","2.3","4","0.6"
"353","Antony Auclair","TB","TE","2.3","2","1.2"
"353","Ryan Izzo","MIN","TE","2.3","2","1.2"
"354","Benny Cunningham","CHI","RB","2.2","4","0.6"
"355","Hakeem Valles","DET","TE","2.1","2","1.1"
"356","TJ Jones","DET","WR","2.0","2","1.0"
"357","Khadarel Hodge","LAR","WR","1.9","2","1.0"
"357","Tim White","BAL","WR","1.9","3","0.6"
"357","Dion Sims","CHI","TE","1.9","2","1.0"
"357","Roc Thomas","MIN","RB","1.9","3","0.6"
"358","Jonathan Stewart","NYG","RB","1.7","3","0.6"
"359","Sammie Coates","HOU","WR","1.7","2","0.9"
"359","Justin Jackson","LAC","RB","1.7","1","1.7"
"359","Jeremy Kerley","FA","WR","1.7","1","1.7"
"359","Tyler Ervin","HOU","RB","1.7","6","0.3"
"359","Josh Malone","CIN","WR","1.7","2","0.9"
"360","Blake Jarwin","DAL","TE","1.6","5","0.3"
"361","Brandon Wilds","ARI","RB","1.5","3","0.5"
"361","Jamaal Charles","JAC","RB","1.5","1","1.5"
"361","Victor Bolden Jr.","SF","WR","1.5","1","1.5"
"361","Justin Hardee","NO","WR","1.5","5","0.3"
"361","J'Mon Moore","GB","WR","1.5","2","0.8"
"362","Tre Madden","SEA","RB","1.4","4","0.4"
"362","Russell Gage","ATL","WR","1.4","2","0.7"
"363","Eric Saubert","ATL","TE","1.3","2","0.7"
"363","Orson Charles","CLE","TE","1.3","5","0.3"
"364","David Grinnage","JAC","TE","1.2","1","1.2"
"364","Richie James","SF","WR","1.2","2","0.6"
"364","Marcus Kemp","KC","WR","1.2","2","0.6"
"364","Hayden Hurst","BAL","TE","1.2","2","0.6"
"365","Michael Burton","CHI","RB","1.1","1","1.1"
"365","Andre Roberts","NYJ","WR","1.1","6","0.2"
"365","Justin Hunter","PIT","WR","1.1","2","0.6"
"366","Tommy Bohanon","JAC","RB","1.0","3","0.3"
"366","Khari Lee","FA","TE","1.0","1","1.0"
"367","Christine Michael","FA","RB","0.9","1","0.9"
"368","Jamize Olawale","DAL","RB","0.8","5","0.2"
"369","Robert Kelley","WAS","RB","0.8","2","0.4"
"370","Chris Manhertz","CAR","TE","0.7","3","0.2"
"370","Ray-Ray McCloud","BUF","WR","0.7","4","0.2"
"371","Matt Schaub","ATL","QB","0.6","2","0.3"
"371","Jonathan Williams","IND","RB","0.6","3","0.2"
"372","Kalen Ballage","MIA","RB","0.5","2","0.3"
"372","Samaje Perine","WAS","RB","0.5","1","0.5"
"373","Jeremy McNichols","DEN","RB","0.4","1","0.4"
"374","Dwayne Washington","NO","RB","0.2","1","0.2"
"375","Dwayne Allen","NE","TE","0.1","1","0.1"
